epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1314.06,1.11888,1.47398,1.13881,0.74227,0.59321,0.67911,0.43971,1.15996,1.09555,1.13878,0.00332973,0.00332973,0.00332973
2,1872.47,1.20798,1.16685,1.19678,0.6702,0.48891,0.56612,0.34018,1.39259,1.34466,1.30852,0.00653113,0.00653113,0.00653113
3,2210.07,1.34516,1.28943,1.29071,0.62935,0.44934,0.50111,0.28097,1.52503,1.53692,1.44593,0.00960054,0.00960054,0.00960054
4,2546.19,1.37907,1.32267,1.32407,0.69555,0.53076,0.60398,0.36071,1.38089,1.22367,1.32405,0.009406,0.009406,0.009406
5,2883.49,1.32563,1.24911,1.29345,0.7229,0.53531,0.62255,0.39361,1.28187,1.16102,1.24758,0.009208,0.009208,0.009208
6,3220.06,1.29313,1.20256,1.27269,0.7469,0.56983,0.66369,0.4268,1.2169,1.06628,1.21224,0.00901,0.00901,0.00901
7,3555.65,1.27197,1.17165,1.25945,0.75625,0.58467,0.67739,0.44432,1.18327,1.01576,1.18186,0.008812,0.008812,0.008812
8,3894.58,1.25403,1.14583,1.24758,0.76879,0.59763,0.69309,0.4566,1.1537,0.97233,1.16805,0.008614,0.008614,0.008614
9,4325.33,1.24466,1.13443,1.24021,0.78281,0.60045,0.70407,0.46782,1.13599,0.95109,1.16076,0.008416,0.008416,0.008416
10,4664.18,1.23111,1.11657,1.23104,0.78177,0.61362,0.71368,0.47779,1.11558,0.92068,1.14207,0.008218,0.008218,0.008218
11,5001.9,1.22465,1.10894,1.22819,0.77631,0.62665,0.71937,0.48461,1.10749,0.89903,1.13909,0.00802,0.00802,0.00802
12,5359.62,1.21826,1.09812,1.22178,0.77975,0.62777,0.72511,0.49132,1.09646,0.88685,1.13073,0.007822,0.007822,0.007822
13,5723.05,1.21231,1.09001,1.21823,0.79014,0.62884,0.73117,0.49638,1.08491,0.87117,1.12421,0.007624,0.007624,0.007624
14,6061.29,1.2046,1.0822,1.21546,0.78881,0.63355,0.73331,0.4997,1.07823,0.8629,1.12065,0.007426,0.007426,0.007426
15,6401.21,1.20239,1.07579,1.21165,0.78852,0.63693,0.7345,0.50099,1.07553,0.85735,1.12005,0.007228,0.007228,0.007228
16,6739.89,1.19955,1.07136,1.20975,0.79134,0.63886,0.73767,0.50414,1.07045,0.84954,1.11714,0.00703,0.00703,0.00703
17,7077.67,1.19157,1.06206,1.20412,0.79275,0.6384,0.73941,0.50625,1.06812,0.8435,1.11562,0.006832,0.006832,0.006832
18,7415.9,1.18675,1.05561,1.20067,0.79203,0.64248,0.74031,0.50671,1.06578,0.83972,1.11356,0.006634,0.006634,0.006634
19,7775.76,1.1825,1.04903,1.19716,0.79305,0.64148,0.74195,0.50763,1.0632,0.83568,1.11168,0.006436,0.006436,0.006436
20,8175.64,1.1765,1.04357,1.19608,0.79665,0.64162,0.74342,0.50899,1.06044,0.83261,1.1103,0.006238,0.006238,0.006238
21,8515.08,1.17402,1.03833,1.1931,0.79404,0.64391,0.74457,0.50978,1.05991,0.83062,1.10965,0.00604,0.00604,0.00604
22,8853.88,1.17206,1.03249,1.19188,0.79901,0.64257,0.74621,0.51062,1.05848,0.82863,1.10876,0.005842,0.005842,0.005842
23,9202.3,1.16792,1.02829,1.1902,0.79741,0.64294,0.7465,0.51159,1.05783,0.82701,1.10804,0.005644,0.005644,0.005644
24,9587.88,1.16218,1.02458,1.18747,0.80179,0.64109,0.74691,0.51224,1.05701,0.82566,1.10733,0.005446,0.005446,0.005446
25,9929.92,1.15771,1.02003,1.18302,0.8034,0.64007,0.74713,0.51255,1.05604,0.82424,1.10619,0.005248,0.005248,0.005248
26,10267.4,1.15229,1.01304,1.18044,0.80181,0.64044,0.74787,0.51316,1.05464,0.82315,1.10519,0.00505,0.00505,0.00505
27,10604.2,1.15068,1.00935,1.17824,0.80625,0.64022,0.74838,0.51381,1.05369,0.82161,1.10432,0.004852,0.004852,0.004852
28,10942.3,1.14702,1.00385,1.17504,0.80387,0.64341,0.74907,0.51444,1.05176,0.82012,1.10279,0.004654,0.004654,0.004654
29,11281.5,1.14229,1.00028,1.17345,0.80297,0.6448,0.75015,0.51519,1.04981,0.81876,1.10122,0.004456,0.004456,0.004456
30,11656.2,1.13578,0.99277,1.17082,0.80599,0.64536,0.75126,0.51581,1.04824,0.8177,1.10014,0.004258,0.004258,0.004258
31,12004.1,1.13565,0.98958,1.16834,0.80516,0.6448,0.75168,0.51688,1.04757,0.81722,1.0996,0.00406,0.00406,0.00406
32,12341.4,1.12769,0.98451,1.16603,0.80768,0.64337,0.75204,0.51729,1.04701,0.817,1.09917,0.003862,0.003862,0.003862
33,12683.7,1.12455,0.97644,1.16253,0.80821,0.64369,0.75213,0.51772,1.04673,0.81664,1.09868,0.003664,0.003664,0.003664
34,13048.6,1.11701,0.96711,1.15763,0.80851,0.64446,0.75257,0.5186,1.04557,0.81593,1.09777,0.003466,0.003466,0.003466
35,13447.2,1.11471,0.96279,1.15654,0.80814,0.64443,0.75274,0.51917,1.0448,0.81569,1.09714,0.003268,0.003268,0.003268
36,13789.7,1.11014,0.95968,1.15385,0.80558,0.64703,0.75296,0.52013,1.04313,0.81567,1.09635,0.00307,0.00307,0.00307
37,14128.4,1.10557,0.95187,1.15183,0.80754,0.64563,0.75336,0.52094,1.04139,0.81589,1.09532,0.002872,0.002872,0.002872
38,14468.5,1.09874,0.94454,1.14575,0.80995,0.6448,0.75376,0.52169,1.03968,0.81541,1.0942,0.002674,0.002674,0.002674
39,14804.5,1.0932,0.93872,1.144,0.80698,0.64592,0.75445,0.52221,1.03804,0.81551,1.09303,0.002476,0.002476,0.002476
40,15143,1.0839,0.92644,1.14,0.80662,0.64628,0.75501,0.52311,1.03622,0.81573,1.09171,0.002278,0.002278,0.002278
41,15483.5,1.06117,0.87936,1.11673,0.80716,0.64628,0.75493,0.52385,1.0345,0.81694,1.09063,0.00208,0.00208,0.00208
42,15844.6,1.05163,0.86683,1.11128,0.80564,0.64749,0.75506,0.52414,1.03326,0.81744,1.0897,0.001882,0.001882,0.001882
43,16160.6,1.04794,0.85648,1.10802,0.80838,0.64628,0.755,0.52506,1.03199,0.81872,1.08887,0.001684,0.001684,0.001684
44,16476,1.03939,0.84827,1.10185,0.8081,0.64703,0.75519,0.52598,1.03053,0.81993,1.08783,0.001486,0.001486,0.001486
45,16791.6,1.03159,0.83523,1.09791,0.80849,0.64628,0.75538,0.52688,1.02926,0.82081,1.087,0.001288,0.001288,0.001288
46,17124,1.0223,0.82645,1.09047,0.80845,0.64579,0.75544,0.5272,1.02821,0.82126,1.08621,0.00109,0.00109,0.00109
47,17439.4,1.0123,0.81406,1.08526,0.80744,0.64684,0.75605,0.52791,1.02679,0.82171,1.08523,0.000892,0.000892,0.000892
48,17754.8,1.00437,0.80319,1.08108,0.8079,0.64647,0.75602,0.52854,1.02507,0.8219,1.08419,0.000694,0.000694,0.000694
49,18071.4,0.99493,0.79365,1.07501,0.80663,0.64874,0.75693,0.52963,1.02348,0.82175,1.08276,0.000496,0.000496,0.000496
50,18387.4,0.98644,0.78156,1.07016,0.80916,0.64628,0.75718,0.53063,1.02194,0.82079,1.08158,0.000298,0.000298,0.000298
